model_name,split
E_S_WWC_WM_352,train
E_S_WWC_WM_353,train
E_S_WWC_WM_354,train
E_S_WWC_WM_355,train
E_S_WWC_WM_356,val
E_S_WWC_WM_357,test
E_S_WWC_WM_358,val
E_S_WWC_WM_359,train
E_S_WWC_WM_360,train
E_S_WWC_WM_361,val
E_S_WWC_WM_362,train
E_S_WWC_WM_363,train
E_S_WWC_WM_364,test
E_S_WWC_WM_365,train
E_S_WWC_WM_366,train
E_S_WWC_WM_367,train
E_S_WWC_WM_368,train
E_S_WWC_WM_369,train
E_S_WWC_WM_370,train
E_S_WWC_WM_371,train
E_S_WWC_WM_372,train
E_S_WWC_WM_373,train
E_S_WWC_WM_374,train
E_S_WWC_WM_375,train
E_S_WWC_WM_376,test
E_S_WWC_WM_377,train
E_S_WWC_WM_378,train
E_S_WWC_WM_379,train
E_S_WWC_WM_380,train
E_S_WWC_WM_381,train
E_S_WWC_WM_382,train
E_S_WWC_WM_383,train
E_S_WWC_WM_384,val
E_S_WWC_WM_385,train
E_S_WWC_WM_387,train
E_S_WWC_WM_388,train
E_S_WWC_WM_389,train
E_S_WWC_WM_390,train
E_S_WWC_WM_391,train
E_S_WWC_WM_392,test
E_S_WWC_WM_393,val
E_S_WWC_WM_394,train
E_S_WWC_WM_395,train
E_S_WWC_WM_396,train
E_S_WWC_WM_397,val
E_S_WWC_WM_398,train
E_S_WWC_WM_399,train
E_S_WWC_WM_400,train
E_S_WWC_WM_401,train
E_S_WWC_WM_402,train
E_S_WWC_WM_403,train
E_S_WWC_WM_404,train
E_S_WWC_WM_405,test
E_S_WWC_WM_406,test
E_S_WWC_WM_407,train
E_S_WWC_WM_408,test
E_S_WWC_WM_409,test
E_S_WWC_WM_410,train
E_S_WWC_WM_411,train
E_S_WWC_WM_412,test
E_S_WWC_WM_413,train
E_S_WWC_WM_414,train
E_S_WWC_WM_415,test
E_S_WWC_WM_416,train
E_S_WWC_WM_417,train
E_S_WWC_WM_418,train
E_S_WWC_WM_419,test
E_S_WWC_WM_420,train
E_S_WWC_WM_421,train
E_S_WWC_WM_422,train
E_S_WWC_WM_423,train
E_S_WWC_WM_424,train
E_S_WWC_WM_425,train
E_S_WWC_WM_426,train
E_S_WWC_WM_427,train
E_S_WWC_WM_428,train
E_S_WWC_WM_429,train
E_S_WWC_WM_431,train
E_S_WWC_WM_432,train
E_S_WWC_WM_433,train
E_S_WWC_WM_434,train
E_S_WWC_WM_435,train
E_S_WWC_WM_436,train
E_S_WWC_WM_437,train
E_S_WWC_WM_438,val
E_S_WWC_WM_439,train
E_S_WWC_WM_440,train
E_S_WWC_WM_441,train
E_S_WWC_WM_442,train
E_S_WWC_WM_443,train
E_S_WWC_WM_444,train
E_S_WWC_WM_445,train
E_S_WWC_WM_446,train
E_S_WWC_WM_447,train
E_S_WWC_WM_448,train
E_S_WWC_WM_449,train
E_S_WWC_WM_450,train
E_S_WWC_WM_451,train
E_S_WWC_WM_452,val
E_S_WWC_WM_453,train
E_S_WWC_WM_454,train
E_S_WWC_WM_455,train
E_S_WWC_WM_456,train
E_S_WWC_WM_457,train
E_S_WWC_WM_458,train
E_S_WWC_WM_459,train
E_S_WWC_WM_460,test
E_S_WWC_WM_461,train
E_S_WWC_WM_462,train
E_S_WWC_WM_463,test
E_S_WWC_WM_464,train
E_S_WWC_WM_465,train
E_S_WWC_WM_466,test
E_S_WWC_WM_467,train
E_S_WWC_WM_468,test
E_S_WWC_WM_469,train
E_S_WWC_WM_470,train
E_S_WWC_WM_471,train
E_S_WWC_WM_472,train
E_S_WWC_WM_473,train
E_S_WWC_WM_474,test
E_S_WWC_WM_475,train
E_S_WWC_WM_476,train
E_S_WWC_WM_477,train
E_S_WWC_WM_478,val
E_S_WWC_WM_479,train
E_S_WWC_WM_480,train
E_S_WWC_WM_481,train
E_S_WWC_WM_483,train
E_S_WWC_WM_484,train
E_S_WWC_WM_485,train
E_S_WWC_WM_486,val
E_S_WWC_WM_487,test
E_S_WWC_WM_488,train
E_S_WWC_WM_490,train
E_S_WWC_WM_492,train
E_S_WWC_WM_493,val
E_S_WWC_WM_494,train
E_S_WWC_WM_495,train
E_S_WWC_WM_496,train
E_S_WWC_WM_497,train
E_S_WWC_WM_498,train
E_S_WWC_WM_500,test
E_S_WWC_WM_501,train
E_S_WWC_WM_502,train
E_S_WWC_WM_503,test
E_S_WWC_WM_504,train
E_S_WWC_WM_505,train
E_S_WWC_WM_506,train
E_S_WWC_WM_507,train
E_S_WWC_WM_508,train
E_S_WWC_WM_509,train
E_S_WWC_WM_510,train
E_S_WWC_WM_511,train
E_S_WWC_WM_512,train
E_S_WWC_WM_513,train
E_S_WWC_WM_514,train
E_S_WWC_WM_515,train
E_S_WWC_WM_516,val
E_S_WWC_WM_517,train
E_S_WWC_WM_518,train
E_S_WWC_WM_520,train
E_S_WWC_WM_521,train
E_S_WWC_WM_522,train
E_S_WWC_WM_523,train
E_S_WWC_WM_524,train
E_S_WWC_WM_525,train
E_S_WWC_WM_526,train
E_S_WWC_WM_528,train
E_S_WWC_WM_529,train
E_S_WWC_WM_530,train
E_S_WWC_WM_531,train
E_S_WWC_WM_532,train
E_S_WWC_WM_533,train
E_S_WWC_WM_534,train
E_S_WWC_WM_535,train
E_S_WWC_WM_536,train
E_S_WWC_WM_537,train
E_S_WWC_WM_539,train
E_S_WWC_WM_540,train
E_S_WWC_WM_541,test
E_S_WWC_WM_542,train
E_S_WWC_WM_543,test
E_S_WWC_WM_544,train
E_S_WWC_WM_545,train
E_S_WWC_WM_546,train
E_S_WWC_WM_547,test
E_S_WWC_WM_548,train
E_S_WWC_WM_549,train
E_S_WWC_WM_550,train
E_S_WWC_WM_551,train
E_S_WWC_WM_552,test
E_S_WWC_WM_553,train
E_S_WWC_WM_554,train
E_S_WWC_WM_555,val
E_S_WWC_WM_556,test
E_S_WWC_WM_558,train
E_S_WWC_WM_559,train
E_S_WWC_WM_560,train
E_S_WWC_WM_561,train
E_S_WWC_WM_562,test
E_S_WWC_WM_563,train
E_S_WWC_WM_564,train
E_S_WWC_WM_565,train
E_S_WWC_WM_566,val
E_S_WWC_WM_569,train
E_S_WWC_WM_570,train
E_S_WWC_WM_571,train
E_S_WWC_WM_572,val
E_S_WWC_WM_573,train
E_S_WWC_WM_574,train
E_S_WWC_WM_575,train
E_S_WWC_WM_576,train
E_S_WWC_WM_577,train
E_S_WWC_WM_578,train
E_S_WWC_WM_579,train
E_S_WWC_WM_580,train
E_S_WWC_WM_581,train
E_S_WWC_WM_582,train
E_S_WWC_WM_583,train
E_S_WWC_WM_585,train
E_S_WWC_WM_586,train
E_S_WWC_WM_587,train
E_S_WWC_WM_588,test
E_S_WWC_WM_589,train
E_S_WWC_WM_590,train
E_S_WWC_WM_591,train
E_S_WWC_WM_592,train
E_S_WWC_WM_593,train
E_S_WWC_WM_594,train
E_S_WWC_WM_595,train
E_S_WWC_WM_596,train
E_S_WWC_WM_597,train
E_S_WWC_WM_598,train
E_S_WWC_WM_599,train
E_S_WWC_WM_600,train
E_S_WWC_WM_601,train
E_S_WWC_WM_602,val
E_S_WWC_WM_603,val
E_S_WWC_WM_604,train
E_S_WWC_WM_605,train
E_S_WWC_WM_606,train
E_S_WWC_WM_607,train
E_S_WWC_WM_608,train
E_S_WWC_WM_609,train
E_S_WWC_WM_610,train
E_S_WWC_WM_611,train
E_S_WWC_WM_614,val
E_S_WWC_WM_615,train
E_S_WWC_WM_616,train
E_S_WWC_WM_617,train
E_S_WWC_WM_618,train
E_S_WWC_WM_620,train
E_S_WWC_WM_621,train
E_S_WWC_WM_622,val
E_S_WWC_WM_623,train
E_S_WWC_WM_624,train
E_S_WWC_WM_625,train
E_S_WWC_WM_628,test
E_S_WWC_WM_629,train
E_S_WWC_WM_631,train
E_S_WWC_WM_632,train
E_S_WWC_WM_633,val
E_S_WWC_WM_634,train
E_S_WWC_WM_635,train
E_S_WWC_WM_636,train
E_S_WWC_WM_637,train
E_S_WWC_WM_638,val
E_S_WWC_WM_639,train
E_S_WWC_WM_641,test
E_S_WWC_WM_643,train
E_S_WWC_WM_644,test
E_S_WWC_WM_645,train
E_S_WWC_WM_646,train
E_S_WWC_WM_647,train
E_S_WWC_WM_648,val
E_S_WWC_WM_649,train
E_S_WWC_WM_651,val
E_S_WWC_WM_652,train
E_S_WWC_WM_653,train
E_S_WWC_WM_654,train
E_S_WWC_WM_655,train
E_S_WWC_WM_656,train
E_S_WWC_WM_657,train
E_S_WWC_WM_658,train
E_S_WWC_WM_659,train
E_S_WWC_WM_660,train
E_S_WWC_WM_661,train
E_S_WWC_WM_662,train
E_S_WWC_WM_663,train
E_S_WWC_WM_664,train
E_S_WWC_WM_665,train
E_S_WWC_WM_666,train
E_S_WWC_WM_667,train
E_S_WWC_WM_668,train
E_S_WWC_WM_669,test
E_S_WWC_WM_670,train
E_S_WWC_WM_671,train
E_S_WWC_WM_672,train
E_S_WWC_WM_673,train
E_S_WWC_WM_674,val
E_S_WWC_WM_675,train
E_S_WWC_WM_676,train
E_S_WWC_WM_678,train
E_S_WWC_WM_679,train
E_S_WWC_WM_680,val
E_S_WWC_WM_681,train
E_S_WWC_WM_682,train
E_S_WWC_WM_683,train
E_S_WWC_WM_684,train
E_S_WWC_WM_685,train
E_S_WWC_WM_686,val
E_S_WWC_WM_687,test
E_S_WWC_WM_688,train
E_S_WWC_WM_689,train
E_S_WWC_WM_690,train
E_S_WWC_WM_691,train
E_S_WWC_WM_693,train
E_S_WWC_WM_694,train
E_S_WWC_WM_695,train
E_S_WWC_WM_696,test
E_S_WWC_WM_697,train
E_S_WWC_WM_698,train
E_S_WWC_WM_699,train
E_S_WWC_WM_700,train
E_S_WW_WM_001,train
E_S_WW_WM_002,train
E_S_WW_WM_003,train
E_S_WW_WM_004,train
E_S_WW_WM_005,test
E_S_WW_WM_006,train
E_S_WW_WM_007,train
E_S_WW_WM_008,train
E_S_WW_WM_009,train
E_S_WW_WM_010,train
E_S_WW_WM_011,train
E_S_WW_WM_012,train
E_S_WW_WM_013,train
E_S_WW_WM_014,train
E_S_WW_WM_015,train
E_S_WW_WM_018,train
E_S_WW_WM_019,train
E_S_WW_WM_020,train
E_S_WW_WM_021,val
E_S_WW_WM_022,train
E_S_WW_WM_023,train
E_S_WW_WM_024,train
E_S_WW_WM_025,train
E_S_WW_WM_026,val
E_S_WW_WM_027,train
E_S_WW_WM_028,train
E_S_WW_WM_029,train
E_S_WW_WM_030,train
E_S_WW_WM_031,train
E_S_WW_WM_032,train
E_S_WW_WM_033,train
E_S_WW_WM_034,train
E_S_WW_WM_035,val
E_S_WW_WM_036,train
E_S_WW_WM_037,val
E_S_WW_WM_038,train
E_S_WW_WM_039,train
E_S_WW_WM_041,train
E_S_WW_WM_042,train
E_S_WW_WM_043,train
E_S_WW_WM_044,train
E_S_WW_WM_045,train
E_S_WW_WM_046,train
E_S_WW_WM_047,train
E_S_WW_WM_048,train
E_S_WW_WM_049,train
E_S_WW_WM_050,train
E_S_WW_WM_052,train
E_S_WW_WM_053,train
E_S_WW_WM_054,train
E_S_WW_WM_055,train
E_S_WW_WM_056,train
E_S_WW_WM_057,train
E_S_WW_WM_058,train
E_S_WW_WM_059,train
E_S_WW_WM_060,train
E_S_WW_WM_061,val
E_S_WW_WM_062,test
E_S_WW_WM_063,train
E_S_WW_WM_064,train
E_S_WW_WM_065,test
E_S_WW_WM_066,val
E_S_WW_WM_067,train
E_S_WW_WM_068,train
E_S_WW_WM_070,test
E_S_WW_WM_071,train
E_S_WW_WM_072,train
E_S_WW_WM_073,train
E_S_WW_WM_074,train
E_S_WW_WM_075,train
E_S_WW_WM_076,train
E_S_WW_WM_077,val
E_S_WW_WM_078,train
E_S_WW_WM_079,train
E_S_WW_WM_081,train
E_S_WW_WM_082,train
E_S_WW_WM_083,train
E_S_WW_WM_084,train
E_S_WW_WM_085,train
E_S_WW_WM_086,train
E_S_WW_WM_087,val
E_S_WW_WM_088,train
E_S_WW_WM_089,train
E_S_WW_WM_090,train
E_S_WW_WM_091,test
E_S_WW_WM_092,train
E_S_WW_WM_093,train
E_S_WW_WM_094,train
E_S_WW_WM_095,train
E_S_WW_WM_096,train
E_S_WW_WM_097,train
E_S_WW_WM_098,train
E_S_WW_WM_099,train
E_S_WW_WM_100,train
E_S_WW_WM_101,train
E_S_WW_WM_102,train
E_S_WW_WM_103,train
E_S_WW_WM_104,train
E_S_WW_WM_105,train
E_S_WW_WM_106,train
E_S_WW_WM_107,train
E_S_WW_WM_108,train
E_S_WW_WM_109,train
E_S_WW_WM_110,test
E_S_WW_WM_111,test
E_S_WW_WM_112,train
E_S_WW_WM_113,train
E_S_WW_WM_114,train
E_S_WW_WM_115,train
E_S_WW_WM_116,train
E_S_WW_WM_117,train
E_S_WW_WM_118,train
E_S_WW_WM_119,train
E_S_WW_WM_120,train
E_S_WW_WM_121,train
E_S_WW_WM_122,train
E_S_WW_WM_123,train
E_S_WW_WM_124,train
E_S_WW_WM_125,train
E_S_WW_WM_126,train
E_S_WW_WM_127,train
E_S_WW_WM_128,train
E_S_WW_WM_129,train
E_S_WW_WM_131,train
E_S_WW_WM_132,val
E_S_WW_WM_133,train
E_S_WW_WM_134,train
E_S_WW_WM_135,val
E_S_WW_WM_136,train
E_S_WW_WM_137,train
E_S_WW_WM_138,train
E_S_WW_WM_139,train
E_S_WW_WM_140,train
E_S_WW_WM_141,train
E_S_WW_WM_142,train
E_S_WW_WM_143,val
E_S_WW_WM_144,test
E_S_WW_WM_146,train
E_S_WW_WM_147,train
E_S_WW_WM_148,train
E_S_WW_WM_149,train
E_S_WW_WM_150,test
E_S_WW_WM_152,train
E_S_WW_WM_153,train
E_S_WW_WM_154,train
E_S_WW_WM_155,val
E_S_WW_WM_156,train
E_S_WW_WM_157,train
E_S_WW_WM_158,train
E_S_WW_WM_159,train
E_S_WW_WM_160,test
E_S_WW_WM_161,train
E_S_WW_WM_162,train
E_S_WW_WM_163,train
E_S_WW_WM_164,test
E_S_WW_WM_165,train
E_S_WW_WM_166,test
E_S_WW_WM_167,train
E_S_WW_WM_168,train
E_S_WW_WM_170,train
E_S_WW_WM_174,train
E_S_WW_WM_175,train
E_S_WW_WM_176,train
E_S_WW_WM_177,train
E_S_WW_WM_178,train
E_S_WW_WM_179,val
E_S_WW_WM_180,train
E_S_WW_WM_181,train
E_S_WW_WM_182,train
E_S_WW_WM_183,train
E_S_WW_WM_184,train
E_S_WW_WM_185,train
E_S_WW_WM_186,train
E_S_WW_WM_187,train
E_S_WW_WM_188,train
E_S_WW_WM_189,val
E_S_WW_WM_190,train
E_S_WW_WM_191,train
E_S_WW_WM_192,train
E_S_WW_WM_193,train
E_S_WW_WM_194,train
E_S_WW_WM_195,test
E_S_WW_WM_196,train
E_S_WW_WM_197,train
E_S_WW_WM_198,train
E_S_WW_WM_199,train
E_S_WW_WM_200,test
E_S_WW_WM_201,train
E_S_WW_WM_202,train
E_S_WW_WM_203,train
E_S_WW_WM_204,val
E_S_WW_WM_205,test
E_S_WW_WM_206,train
E_S_WW_WM_207,train
E_S_WW_WM_208,train
E_S_WW_WM_209,train
E_S_WW_WM_210,train
E_S_WW_WM_211,train
E_S_WW_WM_212,train
E_S_WW_WM_213,train
E_S_WW_WM_214,test
E_S_WW_WM_215,val
E_S_WW_WM_216,train
E_S_WW_WM_217,test
E_S_WW_WM_218,val
E_S_WW_WM_219,train
E_S_WW_WM_221,train
E_S_WW_WM_222,train
E_S_WW_WM_223,train
E_S_WW_WM_224,train
E_S_WW_WM_225,train
E_S_WW_WM_226,train
E_S_WW_WM_227,train
E_S_WW_WM_228,train
E_S_WW_WM_229,train
E_S_WW_WM_230,train
E_S_WW_WM_231,test
E_S_WW_WM_232,train
E_S_WW_WM_233,train
E_S_WW_WM_234,train
E_S_WW_WM_235,test
E_S_WW_WM_236,train
E_S_WW_WM_237,train
E_S_WW_WM_238,train
E_S_WW_WM_239,train
E_S_WW_WM_240,train
E_S_WW_WM_241,train
E_S_WW_WM_242,val
E_S_WW_WM_243,train
E_S_WW_WM_244,train
E_S_WW_WM_245,train
E_S_WW_WM_246,train
E_S_WW_WM_247,train
E_S_WW_WM_249,train
E_S_WW_WM_251,train
E_S_WW_WM_252,val
E_S_WW_WM_253,train
E_S_WW_WM_254,train
E_S_WW_WM_256,train
E_S_WW_WM_257,train
E_S_WW_WM_258,val
E_S_WW_WM_259,train
E_S_WW_WM_260,train
E_S_WW_WM_261,train
E_S_WW_WM_262,val
E_S_WW_WM_263,train
E_S_WW_WM_264,train
E_S_WW_WM_265,train
E_S_WW_WM_266,train
E_S_WW_WM_267,train
E_S_WW_WM_268,train
E_S_WW_WM_269,train
E_S_WW_WM_270,train
E_S_WW_WM_271,train
E_S_WW_WM_272,train
E_S_WW_WM_273,val
E_S_WW_WM_274,train
E_S_WW_WM_275,train
E_S_WW_WM_276,test
E_S_WW_WM_277,train
E_S_WW_WM_278,val
E_S_WW_WM_279,train
E_S_WW_WM_280,train
E_S_WW_WM_281,train
E_S_WW_WM_282,test
E_S_WW_WM_284,train
E_S_WW_WM_285,train
E_S_WW_WM_286,train
E_S_WW_WM_287,train
E_S_WW_WM_288,train
E_S_WW_WM_289,train
E_S_WW_WM_290,train
E_S_WW_WM_291,train
E_S_WW_WM_292,train
E_S_WW_WM_293,val
E_S_WW_WM_294,train
E_S_WW_WM_295,train
E_S_WW_WM_296,train
E_S_WW_WM_297,train
E_S_WW_WM_298,train
E_S_WW_WM_299,train
E_S_WW_WM_300,train
E_S_WW_WM_301,test
E_S_WW_WM_302,val
E_S_WW_WM_303,test
E_S_WW_WM_304,train
E_S_WW_WM_305,train
E_S_WW_WM_306,test
E_S_WW_WM_308,test
E_S_WW_WM_309,train
E_S_WW_WM_310,train
E_S_WW_WM_311,val
E_S_WW_WM_312,train
E_S_WW_WM_313,test
E_S_WW_WM_314,test
E_S_WW_WM_315,train
E_S_WW_WM_316,val
E_S_WW_WM_317,train
E_S_WW_WM_318,test
E_S_WW_WM_322,test
E_S_WW_WM_323,train
E_S_WW_WM_324,val
E_S_WW_WM_325,train
